"ADM3_FR","population"
"Meyomessala",51098.58203125
"Meyomessi",13123.9443359375
"Mfou",92248.1328125
"Mindif",101125.5703125
"Minta",19178.595703125
"Mintom",8100.56787109375
"Misaje",24610.677734375
"Mogode",97519.28125
"Mokolo",446960
"Moloundou",21508.16015625
"Mombo",10469.5009765625
"Monatele",58636.0625
"Mora",312352.40625
"Mouanko",22565.025390625
"Moulvoudaye",123685.9765625
"Moutourwa",55359.78125
"Mundemba",16542.8828125
"Muyuka",115139.9140625
"Mvangane",24821.412109375
"Mvengue",21706.486328125
"Nanga-Eboko",40540.24609375
"Ndelele",38054.484375
"Ndem Nam",17113.708984375
"Ndikinimeki",18731.0078125
"Ndom",11958.572265625
"Ndop",66311.4765625
"Ndoukoula",48139.15234375
"Ndu",72618.265625
"Ngambe",6030.37841796875
"Ngambe-Tikar",40732.1875
"Nganha",93035.5625
"Ngaoui",23382.81640625
"Ngaoundal",78675.0078125
"Ngaoundere 1er",178208.5625
"Ngaoundere 2e",189984.125
"Ngaoundere 3e",47403.59375
"Ngie",13055.470703125
"Ngog-Mapubi",12696.1572265625
"Ngomedzap",25151.501953125
"Ngoro",61703.4140625
"Ngoulemakong",14896.5439453125
"Ngoumou",21867.1484375
"Ngoura",29815.81640625
"Ngoyla",6390.84619140625
"Nguelemendouka",26387.896484375
"Nguibassal",7732.28955078125
"Nguti",26576.865234375
"Ngwei",15820.9267578125
"Niete",44564.6953125
"Nitoukou",5227.4931640625
"Njikwa",11763.3447265625
"Njimom",39830.83984375
"Njinikom",26417.216796875
"Njombe-Penja",56777.45703125
"Nkambe",70648.7265625
"Nkolafamba",304359.625
"Nkolmetet",17521.25390625
"Nkondjock",15406.4921875
"Nkong-Ni",115030.4296875
"Nkongsamba 1er",14659.3974609375
"Nkongsamba 2e",37454.94921875
"Nkongsamba 3e",47364.21875
"Nkoteng",39595.765625
"Nkum",35115.40625
"Nlonako",22809.591796875
"Noni",24080.890625
"Nord-Makombe",8357.177734375
"Nsem",13154.4384765625
"Ntui",49703.87890625
"Nwa",63293.109375
"Nyakokombo",15247.142578125
"Nyambaka",76063.0234375
"Nyanon",13147.1103515625
"Obala",135061.515625
"Okola",115029.015625
"Oku",49810.53515625
"Olamze",11461.2021484375
"Ombessa",50689.3984375
"Oveng",9814.5
"Penka-Michel",123728.6328125
"Pette",77445.0390625
"Pitoa",211530.78125
"Poli",63767.95703125
"Porhi",52747.9921875
"Pouma",21618.43359375
"Poumougne",114380.7109375
"Rey-Bouba",287276.1875
"Saa",78577.515625
"Salapoumbe",16713.4921875
"Sangmelima",104733.546875
"Santa",67989.4296875
"Santchou",52605.5390625
"Soa",325089.78125
"Somalomo",4367.046875
"Soulede-Roua",57976.51171875
"Taibong",47518.35546875
"Tchatibali",8805.875
"Tcheboa",203368.375
"Tchollire",201509.984375
"Tibati",141863.609375
"Tignere",79348.40625
"Tiko",161851.3125
"Toko",6838.57958984375
"Tokombere",81120.953125
"Tombel",73715.7421875
"Tonga",25403.099609375
"Touboro",367587.34375
"Touroua",77990.375
"Tubah",66438.59375
"Upper Bayang",20423.25390625
"Vele",107955.390625
"Wabane",17034.955078125
"Waza",28327.349609375
"West-Coast",12607.6748046875
"Widikum",21751.212890625
"Wina",21933.97265625
"Wum",25829.138671875
"Yabassi",33200.80859375
"Yagoua",205188.515625
"Yaounde 1er",487172.53125
"Yaounde 2e",182942.109375
"Yaounde 3e",331096.78125
"Yaounde 4e",614039.75
"Yaounde 5e",408005.8125
"Yaounde 6e",308342.15625
"Yaounde 7e",201160.6875
"Yingui",3566.82568359375
"Yokadouma",97454.1484375
"Yoko",26668.30078125
"Zina",42061.51171875
"Zoetele",38399.01171875
