"ADM1_FR","population","pop_malade"
"Adamaoua",1649246.875,343321.9375
"Centre",5207611,1310042.375
"Est",1508061,507573.625
"Extrême-Nord",5346908.5,1183908.25
"Littoral",4456165.5,728548
"Nord",3429326.25,782710.875
"Nord-Ouest",1505072.75,227244.515625
"Sud",1000830.9375,394993.3125
"Sud-Ouest",1765365.125,326685.59375
"Ouest",2743288.5,394724.78125
