"ADM1_FR","population"
"Adamaoua",1649353.125
"Centre",5207611
"Est",1508294.75
"Extrême-Nord",5347388
"Littoral",4456334
"Nord",3429567.75
"Nord-Ouest",1505096
"Sud",1000830.9375
"Sud-Ouest",1765909.75
"Ouest",2743288.5
