"ADM3_FR","population","pop_malade"
"Kar-Hay",80313.6015625,24343.3515625
"Kekem",34248.94140625,5368.77734375
"Kette",74500.796875,32687.154296875
"Kiiki",18594.56640625,5845.099609375
"Kolofata",110529.578125,19398.77734375
"Kombo Abedimo",5708.27978515625,1741.70690917969
"Kombo Itindi",7531.14501953125,1899.5283203125
"Kon Yambetta",10980.337890625,3231.88330078125
"Kontcha",5691.25244140625,1966.94079589844
"Konye",59325.82421875,13931.8515625
"Kouoptamo",54597.546875,8291.365234375
"Kousseri",235290.71875,21050.48828125
"Koutaba",88339.6796875,14965.9619140625
"Koza",95110.9453125,20393.85546875
"Kribi 1er",19567.708984375,5780.39404296875
"Kribi 2e",104343.5859375,30042.712890625
"Kumba 1st",119396,23681.88671875
"Kumba 2nd",95997.828125,15657.0234375
"Kumba 3rd",79481.875,14892.328125
"Kumbo",77816.0859375,8347.9423828125
"Kye-Ossi",36086.78125,10226.2021484375
"Lagdo",209922,59154.58984375
"Lembe Yezoum",7706.8857421875,3072.86083984375
"Limbe 1st",152549.359375,20550.181640625
"Limbe 2nd",137191,14983.982421875
"Limbe 3rd",24077.818359375,3360.88354492188
"Lobo",16871.51171875,7395.24658203125
"Logone-Birni",136280.53125,20021.23828125
"Lokoundje",37332.09765625,14986.033203125
"Lolodorf",15039.8515625,8317.6279296875
"Lomie",26585.265625,10989.0205078125
"Loum",61717.45703125,9440.08203125
"Maan",27044.521484375,11453.9892578125
"Madingring",94637.5859375,7507.0458984375
"Maga",172409.203125,32676.34375
"Magba",54751.30859375,15711.279296875
"Makak",31966.126953125,15403.2705078125
"Makary",257564.234375,36043.44921875
"Makenene",29791.373046875,7585.5517578125
"Malantouen",101606.125,28862.22265625
"Mamfe",107609.1171875,32596.12890625
"Mandjou",73237.03125,19238.08203125
"Manjo",53930.13671875,8846.4169921875
"Maroua 1er",246938.6875,66051.6953125
"Maroua 2e",130995.859375,29870.62109375
"Maroua 3e",227057.046875,57663.5546875
"Martap",65870.3515625,14820.8720703125
"Massangam",73107.921875,20687.8203125
"Massock-Songloulou",10115.7177734375,4619.74853515625
"Matomb",19984.81640625,9691.69140625
"Mayo-Baleo",31741.212890625,11217.4052734375
"Mayo-Darle",29792.298828125,9538.34375
"Mayo-Hourna",91908.15625,19537.54296875
"Mayo-Moskota",27602.05078125,5613.95263671875
"Mayo-Oulo",181245.6875,48726.40625
"Mbalmayo",68052.3671875,20258.03515625
"Mbandjock",35851.17578125,11822.0625
"Mbang",40955.265625,19474.654296875
"Mbanga",71127.5703125,13019.84375
"Mbangassina",39937.4140625,13338.302734375
"Mbankomo",136635.3125,37446.57421875
"Mbe",44382.16796875,10379.0888671875
"Mbengwi",41825.63671875,7362.7236328125
"Mboanz",22949.484375,9078.1591796875
"Mboma",12001.806640625,4929.2421875
"Mbonge",57272.15234375,13430.2080078125
"Mbotoro",8679.17578125,2070.86254882812
"Mbouda",123204.4296875,13712.0654296875
"Mbven",27524.748046875,4550.67529296875
"Meiganga",188667.828125,31514.966796875
"Melong",91591.4453125,14990.4306640625
"Menchum-Valley",31228.0390625,7903.1650390625
"Mengang",12129.0908203125,4516.7041015625
"Mengong",29838.537109375,12379.8916015625
"Mengueme",11636.958984375,4880.43994140625
"Meri",169337.390625,39273.6953125
"Messamena",31594.6484375,12528.8466796875
"Messok",8335.11328125,3417.87719726562
"Messondo",18691.03125,10735.7685546875
"Meyomessala",51098.58203125,24375.556640625
"Meyomessi",13123.9443359375,7012.41259765625
"Mfou",92248.1328125,26014.4921875
"Mindif",101125.5703125,30556.72265625
"Minta",19178.595703125,7851.1689453125
"Mintom",8100.56787109375,3985.85180664062
"Misaje",24610.677734375,5337.26953125
"Mogode",97509.5234375,21119.966796875
"Mokolo",446834.28125,110045.78125
"Moloundou",21508.16015625,5567.265625
"Mombo",10469.5009765625,2018.67016601562
"Monatele",58636.0625,28803.400390625
"Mora",312352.40625,63909.3984375
"Mouanko",22476.279296875,6265.46337890625
"Moulvoudaye",123685.9765625,34745.93359375
"Moutourwa",55359.78125,18512.501953125
"Mundemba",16542.8828125,4659.5244140625
"Muyuka",115139.9140625,22237.955078125
"Mvangane",24821.412109375,11878.6083984375
"Mvengue",21706.486328125,10511.6171875
"Nanga-Eboko",40540.24609375,14632.0341796875
"Ndelele",38054.484375,16223.021484375
"Ndem Nam",17113.708984375,6990.5078125
"Ndikinimeki",18731.0078125,5343.619140625
"Ndom",11958.572265625,4713.125
"Ndop",66311.4765625,8845.4345703125
"Ndoukoula",48139.15234375,14741.8466796875
"Ndu",72618.265625,9878.1982421875
"Ngambe",6030.37841796875,2490.43408203125
"Ngambe-Tikar",40732.1875,14128.599609375
"Nganha",93035.5625,16246.1513671875
"Ngaoui",23382.81640625,2840.26513671875
"Ngaoundal",78675.0078125,20298.134765625
"Ngaoundere 1er",178208.5625,19630.7109375
"Ngaoundere 2e",189984.125,19844.86328125
"Ngaoundere 3e",47403.59375,7033.599609375
"Ngie",13055.470703125,2469.93872070312
"Ngog-Mapubi",12696.1572265625,6678.49853515625
"Ngomedzap",25151.501953125,11045.2470703125
"Ngoro",61703.4140625,22136.333984375
"Ngoulemakong",14896.5439453125,6230.23046875
"Ngoumou",21867.1484375,8874.400390625
"Ngoura",29815.81640625,11901.8056640625
"Ngoyla",6390.84619140625,2648.39697265625
"Nguelemendouka",26387.896484375,11199.708984375
"Nguibassal",7732.28955078125,4077.09204101562
"Nguti",26576.865234375,6484.27734375
